Product,Width,Height,Fitz Price,My Price,Ratio,Area,$ per sq inch
,,,,,,,
Metallic,10,8,7.5,21.94,1.25,80,0.09
Metallic,12,8,7.5,21.94,1.5,96,0.08
Metallic,10,10,11,31.79,1,100,0.11
Metallic,12,10,11,31.79,1.2,120,0.09
Metallic,12,12,16.5,46.78,1,144,0.11
Metallic,15,10,16.5,46.78,1.5,150,0.11
Metallic,16,12,16.5,46.78,1.333333333,192,0.09
Metallic,18,12,16.5,46.78,1.5,216,0.08
Metallic,16,16,26.4,72.23,1,256,0.10
Metallic,20,16,26.4,72.23,1.25,320,0.08
Metallic,18,18,29.7,80.28,1,324,0.09
Metallic,24,16,26.4,72.23,1.5,384,0.07
Metallic,20,20,33,88.11,1,400,0.08
Metallic,24,20,33,88.11,1.2,480,0.07
Metallic,24,24,39.6,103.12,1,576,0.07
Metallic,30,20,49,122.99,1.5,600,0.08
Metallic,30,24,49.5,124.00,1.25,720,0.07
Metallic,36,24,59.4,142.92,1.5,864,0.07
Metallic,30,30,74.25,167.62,1,900,0.08
Metallic,30,40,90,189.00,0.75,1200,0.08
Metallic,45,30,111.4,210.10,1.5,1350,0.08
Metallic,40,40,121,216.59,1,1600,0.08
Metallic,60,40,181,271.50,1.5,2400,0.08
Canvas,12,8,75,168.75,1.5,96,0.78
Canvas,10,10,75,168.75,1,100,0.75
Canvas,12,12,88,186.56,1,144,0.61
Canvas,16,12,88,186.56,1.333333333,192,0.46
Canvas,18,12,88,186.56,1.5,216,0.41
Canvas,16,16,99,198.99,1,256,0.39
Canvas,20,16,125,218.75,1.25,320,0.39
Canvas,18,18,133,222.11,1,324,0.41
Canvas,24,16,158,237.00,1.5,384,0.41
Canvas,20,20,142,224.36,1,400,0.36
Canvas,24,20,158,237.00,1.2,480,0.33
Canvas,24,24,215,322.50,1,576,0.37
Canvas,30,20,182,273.00,1.5,600,0.30
Canvas,30,24,215,322.50,1.25,720,0.30
Canvas,36,24,254,381.00,1.5,864,0.29
Canvas,40,30,300,450.00,1.333333333,1200,0.25
Canvas,45,30,366,549.00,1.5,1350,0.27
Canvas,60,40,540,810.00,1.5,2400,0.23
Matboard,8,6,8.15,23.79,1.333333333,48,0.17
Matboard,9,6,8.15,23.79,1.5,54,0.15
Matboard,12,8,21.15,58.98,1.5,96,0.22
Matboard,12,12,19.95,55.87,1,144,0.14
Matboard,18,12,32.8,87.64,1.5,216,0.15
Matboard,20,20,34.95,92.63,1,400,0.09
Matboard,24,16,56.35,137.30,1.5,384,0.15
Matboard,30,20,84.45,182.03,1.5,600,0.14
Alumalux,12,8,47,118.91,1.5,96,0.49
Alumalux,12,12,71,162.59,1,144,0.49
Alumalux,14,11,82,178.76,1.272727273,154,0.53
Alumalux,18,12,106,205.64,1.5,216,0.49
Alumalux,16,16,125,218.75,1,256,0.49
Alumalux,20,16,136,223.04,1.25,320,0.43
Alumalux,24,16,164,246.00,1.5,384,0.43
Alumalux,20,20,170,255.00,1,400,0.43
Alumalux,30,20,255,382.50,1.5,600,0.43
Alumalux,30,24,307,460.50,1.25,720,0.43
Alumalux,36,24,368,552.00,1.5,864,0.43
Alumalux,30,30,383,574.50,1,900,0.43
Alumalux,40,30,511,766.50,1.333333333,1200,0.43
Alumalux,45,30,562,843.00,1.5,1350,0.42
Alumalux,60,38,971,1456.50,1.578947368,2280,0.43
Acrylic,12,8,93,192.51,1.5,96,0.97
Acrylic,12,12,111,209.79,1,144,0.77
Acrylic,16,12,128,220.16,1.333333333,192,0.67
Acrylic,18,12,135,222.75,1.5,216,0.63
Acrylic,16,16,128,220.16,1,256,0.50
Acrylic,20,16,152,228.00,1.25,320,0.48
Acrylic,18,18,154,231.00,1,324,0.48
Acrylic,24,16,185,277.50,1.5,384,0.48
Acrylic,20,20,191,286.50,1,400,0.48
Acrylic,24,20,223,334.50,1.2,480,0.46
Acrylic,30,20,270,405.00,1.5,600,0.45
Acrylic,24,24,260,390.00,1,576,0.45
Acrylic,30,24,316,474.00,1.25,720,0.44
Acrylic,36,24,373,559.50,1.5,864,0.43
Acrylic,40,30,502,753.00,1.333333333,1200,0.42
Acrylic,45,30,560,840.00,1.5,1350,0.41
Acrylic,40,40,779,1168.50,1,1600,0.49
Standard Frame,8,6,59,142.19,1.333333333,48,1.23
Standard Frame,10,8,76,170.24,1.25,80,0.95
Standard Frame,12,8,76,170.24,1.5,96,0.79
Standard Frame,16,11,97,196.91,1.454545455,176,0.55
Standard Frame,18,12,99,198.99,1.5,216,0.46
Standard Frame,20,16,142,224.36,1.25,320,0.44
Standard Frame,24,16,164,246.00,1.5,384,0.43
Standard Frame,30,20,180,270.00,1.5,600,0.30
Frame,10,8,66,154.44,1.25,80,0.83
Frame,12,8,72,164.16,1.5,96,0.75
Frame,12,12,90,189.00,1,144,0.63
Frame,16,12,104,203.84,1.333333333,192,0.54
Frame,18,12,118,214.76,1.5,216,0.55
Frame,16,16,125,218.75,1,256,0.49
Frame,20,16,140,224.00,1.25,320,0.44
Frame,18,18,140,224.00,1,324,0.43
Frame,20,20,154,231.00,1,400,0.39
Frame,24,16,154,231.00,1.5,384,0.40
Frame,24,20,168,252.00,1.2,480,0.35
Frame,30,20,198,297.00,1.5,600,0.33
Frame,30,24,210,315.00,1.25,720,0.29
Frame,36,24,230,345.00,1.5,864,0.27
Frame,45,30,276,414.00,1.5,1350,0.20
