Product,Width,Height,Weight,Printful Price,My Price,International Shipping,Printful Variant ID,Ratio,Area,$ per sq inch
,,,,,,,,,,
Poster,10,8,11.3,11.72,33.79,5.01,6871,1.25,80,0.15
Poster,10,10,12.8,13.02,37.37,5.01,6872,1.00,100,0.13
Poster,12,12,18.4,14.32,40.92,5.01,6873,1.00,144,0.10
Poster,14,14,24.9,15.63,44.44,5.64,6874,1.00,196,0.08
Poster,16,12,25.5,16.93,47.92,5.64,6875,1.33,192,0.09
Poster,18,12,28.3,17.25,48.79,5.64,6876,1.50,216,0.08
Poster,16,16,32.6,17.58,49.65,6.89,6877,1.00,256,0.07
Poster,20,16,41.1,18.23,51.37,6.89,6878,1.25,320,0.06
Poster,18,18,42.5,19.53,54.79,6.89,6879,1.00,324,0.06
Poster,24,18,56.7,20.84,58.17,6.89,6880,1.33,432,0.05
Poster,36,24,107.7,28.65,77.74,11.32,7845,1.50,864,0.03
Canvas,16,12,907.2,46.82,118.53,0.00,5,1.33,192,0.24
Canvas,20,16,1236.0,52.02,129.01,0.00,6,1.25,320,0.16
Canvas,24,18,1718.0,65.05,152.83,0.00,7,1.33,432,0.15
Canvas,12,12,739.9,44.21,113.09,0.00,823,1.00,144,0.31
Canvas,16,16,1451.5,49.42,123.84,0.00,824,1.00,256,0.19
Canvas,36,24,2795.3,91.09,190.30,0.00,825,1.50,864,0.11
Frame,10,8,396.9,29.95,80.88,18.77,6882,1.25,80,0.37
Frame,10,10,453.6,32.56,87.07,18.77,6883,1.00,100,0.33
Frame,12,12,567.0,37.77,99.03,28.75,6884,1.00,144,0.26
Frame,14,14,708.7,44.28,113.23,28.75,6885,1.00,196,0.23
Frame,16,12,595.3,44.93,114.60,28.75,6886,1.33,192,0.23
Frame,18,12,623.7,46.88,118.66,28.75,6887,1.50,216,0.22
Frame,16,16,850.5,49.49,123.97,33.73,6888,1.00,256,0.19
Frame,20,16,765.4,62.51,148.45,33.73,6889,1.25,320,0.20
Frame,18,18,1048.9,59.90,143.83,38.78,6890,1.00,324,0.18
Frame,24,18,1445.8,70.32,161.51,38.78,6891,1.33,432,0.16
Frame,36,24,2466.4,115.90,213.37,78.40,7846,1.50,864,0.13
